,장소코드,장소명,시간대,혼잡수준,최소인원,최대인원
174,POI015,건대입구역,2024-04-16 01:00,여유,22000,24000
175,POI015,건대입구역,2024-04-16 02:00,여유,20000,22000
176,POI015,건대입구역,2024-04-16 03:00,여유,20000,22000
177,POI015,건대입구역,2024-04-16 04:00,여유,20000,22000
178,POI015,건대입구역,2024-04-16 05:00,여유,18000,20000
179,POI015,건대입구역,2024-04-16 06:00,여유,18000,20000
180,POI016,고덕역,2024-04-15 19:00,약간 붐빔,8000,8500
181,POI016,고덕역,2024-04-15 20:00,보통,7000,7500
182,POI016,고덕역,2024-04-15 21:00,보통,7000,7500
183,POI016,고덕역,2024-04-15 22:00,보통,7000,7500
184,POI016,고덕역,2024-04-15 23:00,보통,7000,7500
185,POI016,고덕역,2024-04-16 00:00,여유,6000,6500
186,POI016,고덕역,2024-04-16 01:00,여유,6000,6500
187,POI016,고덕역,2024-04-16 02:00,보통,6500,7000
188,POI016,고덕역,2024-04-16 03:00,여유,6500,7000
189,POI016,고덕역,2024-04-16 04:00,여유,6500,7000
190,POI016,고덕역,2024-04-16 05:00,여유,6500,7000
191,POI016,고덕역,2024-04-16 06:00,여유,6500,7000
192,POI017,고속터미널역,2024-04-15 19:00,약간 붐빔,20000,22000
193,POI017,고속터미널역,2024-04-15 20:00,보통,16000,18000
194,POI017,고속터미널역,2024-04-15 21:00,여유,10000,12000
195,POI017,고속터미널역,2024-04-15 22:00,여유,7500,8000
196,POI017,고속터미널역,2024-04-15 23:00,여유,5000,5500
197,POI017,고속터미널역,2024-04-16 00:00,여유,3000,3500
198,POI017,고속터미널역,2024-04-16 01:00,여유,2000,2500
199,POI017,고속터미널역,2024-04-16 02:00,여유,1500,2000
200,POI017,고속터미널역,2024-04-16 03:00,여유,1500,2000
201,POI017,고속터미널역,2024-04-16 04:00,여유,1000,1500
202,POI017,고속터미널역,2024-04-16 05:00,여유,1000,1500
203,POI017,고속터미널역,2024-04-16 06:00,여유,1500,2000
204,POI018,교대역,2024-04-15 19:00,붐빔,20000,22000
205,POI018,교대역,2024-04-15 20:00,약간 붐빔,14000,16000
206,POI018,교대역,2024-04-15 21:00,보통,12000,14000
207,POI018,교대역,2024-04-15 22:00,여유,9500,10000
208,POI018,교대역,2024-04-15 23:00,여유,7000,7500
209,POI018,교대역,2024-04-16 00:00,여유,4500,5000
210,POI018,교대역,2024-04-16 01:00,여유,3000,3500
211,POI018,교대역,2024-04-16 02:00,여유,2500,3000
212,POI018,교대역,2024-04-16 03:00,여유,2000,2500
213,POI018,교대역,2024-04-16 04:00,여유,2000,2500
214,POI018,교대역,2024-04-16 05:00,여유,2000,2500
215,POI018,교대역,2024-04-16 06:00,여유,2500,3000
216,POI019,구로디지털단지역,2024-04-15 19:00,붐빔,30000,32000
217,POI019,구로디지털단지역,2024-04-15 20:00,보통,20000,22000
218,POI019,구로디지털단지역,2024-04-15 21:00,여유,14000,16000
219,POI019,구로디지털단지역,2024-04-15 22:00,여유,12000,14000
220,POI019,구로디지털단지역,2024-04-15 23:00,여유,9000,9500
221,POI019,구로디지털단지역,2024-04-16 00:00,여유,7500,8000
222,POI019,구로디지털단지역,2024-04-16 01:00,여유,6000,6500
223,POI019,구로디지털단지역,2024-04-16 02:00,여유,5500,6000
224,POI019,구로디지털단지역,2024-04-16 03:00,여유,5000,5500
225,POI019,구로디지털단지역,2024-04-16 04:00,여유,5000,5500
226,POI019,구로디지털단지역,2024-04-16 05:00,여유,5000,5500
227,POI019,구로디지털단지역,2024-04-16 06:00,여유,5000,5500
228,POI020,구로역,2024-04-15 19:00,붐빔,6000,6500
229,POI020,구로역,2024-04-15 20:00,약간 붐빔,5500,6000
230,POI020,구로역,2024-04-15 21:00,보통,5000,5500
231,POI020,구로역,2024-04-15 22:00,보통,4500,5000
232,POI020,구로역,2024-04-15 23:00,여유,4000,4500
233,POI020,구로역,2024-04-16 00:00,여유,3500,4000
234,POI020,구로역,2024-04-16 01:00,여유,3000,3500
235,POI020,구로역,2024-04-16 02:00,여유,2500,3000
236,POI020,구로역,2024-04-16 03:00,여유,2500,3000
237,POI020,구로역,2024-04-16 04:00,여유,2500,3000
238,POI020,구로역,2024-04-16 05:00,여유,2500,3000
239,POI020,구로역,2024-04-16 06:00,여유,3000,3500
240,POI021,군자역,2024-04-15 19:00,약간 붐빔,10000,12000
241,POI021,군자역,2024-04-15 20:00,약간 붐빔,10000,12000
242,POI021,군자역,2024-04-15 21:00,보통,9500,10000
243,POI021,군자역,2024-04-15 22:00,보통,9000,9500
244,POI021,군자역,2024-04-15 23:00,여유,8000,8500
245,POI021,군자역,2024-04-16 00:00,여유,7000,7500
246,POI021,군자역,2024-04-16 01:00,여유,6000,6500
247,POI021,군자역,2024-04-16 02:00,여유,5500,6000
248,POI021,군자역,2024-04-16 03:00,여유,5000,5500
249,POI021,군자역,2024-04-16 04:00,여유,5000,5500
250,POI021,군자역,2024-04-16 05:00,여유,5000,5500
251,POI021,군자역,2024-04-16 06:00,여유,5000,5500
252,POI022,남구로역,2024-04-15 19:00,붐빔,4000,4500
253,POI022,남구로역,2024-04-15 20:00,붐빔,3500,4000
254,POI022,남구로역,2024-04-15 21:00,붐빔,3500,4000
255,POI022,남구로역,2024-04-15 22:00,붐빔,3500,4000
256,POI022,남구로역,2024-04-15 23:00,붐빔,3500,4000
257,POI022,남구로역,2024-04-16 00:00,붐빔,3500,4000
258,POI022,남구로역,2024-04-16 01:00,붐빔,3500,4000
259,POI022,남구로역,2024-04-16 02:00,붐빔,3500,4000
260,POI022,남구로역,2024-04-16 03:00,붐빔,3500,4000
261,POI022,남구로역,2024-04-16 04:00,붐빔,3500,4000
262,POI022,남구로역,2024-04-16 05:00,붐빔,3500,4000
263,POI022,남구로역,2024-04-16 06:00,붐빔,3500,4000
264,POI023,대림역,2024-04-15 19:00,여유,14000,16000
265,POI023,대림역,2024-04-15 20:00,보통,14000,16000
266,POI023,대림역,2024-04-15 21:00,보통,14000,16000
267,POI023,대림역,2024-04-15 22:00,보통,14000,16000
268,POI023,대림역,2024-04-15 23:00,보통,14000,16000
269,POI023,대림역,2024-04-16 00:00,보통,14000,16000
270,POI023,대림역,2024-04-16 01:00,보통,14000,16000
271,POI023,대림역,2024-04-16 02:00,보통,14000,16000
272,POI023,대림역,2024-04-16 03:00,보통,14000,16000
273,POI023,대림역,2024-04-16 04:00,보통,14000,16000
274,POI023,대림역,2024-04-16 05:00,보통,14000,16000
275,POI023,대림역,2024-04-16 06:00,보통,14000,16000
276,POI024,동대문역,2024-04-15 19:00,약간 붐빔,5500,6000
277,POI024,동대문역,2024-04-15 20:00,보통,4000,4500
278,POI024,동대문역,2024-04-15 21:00,여유,3500,4000
279,POI024,동대문역,2024-04-15 22:00,여유,3000,3500
280,POI024,동대문역,2024-04-15 23:00,여유,2500,3000
281,POI024,동대문역,2024-04-16 00:00,여유,2000,2500
282,POI024,동대문역,2024-04-16 01:00,여유,1500,2000
283,POI024,동대문역,2024-04-16 02:00,여유,1000,1500
284,POI024,동대문역,2024-04-16 03:00,여유,1000,1500
285,POI024,동대문역,2024-04-16 04:00,여유,1000,1500
286,POI024,동대문역,2024-04-16 05:00,여유,1000,1500
287,POI024,동대문역,2024-04-16 06:00,여유,1500,2000
288,POI025,뚝섬역,2024-04-15 19:00,약간 붐빔,14000,16000
289,POI025,뚝섬역,2024-04-15 20:00,보통,12000,14000
290,POI025,뚝섬역,2024-04-15 21:00,여유,10000,12000
291,POI025,뚝섬역,2024-04-15 22:00,여유,10000,12000
292,POI025,뚝섬역,2024-04-15 23:00,여유,9500,10000
